, V1, I1
381,3.81,1.33467e-07
382,3.82,1.7674399999999998e-07
383,3.83,0.0001000024
384,3.84,0.0001000023
385,3.85,0.0001000022
386,3.86,0.0001000022
387,3.87,0.0001000022
388,3.88,0.0001000022
389,3.89,0.0001000022
390,3.9,0.0001000023
391,3.91,0.0001000022
392,3.92,0.0001000021
393,3.93,0.0001000022
394,3.94,0.0001000022
395,3.95,0.0001000023
396,3.96,0.0001000022
397,3.97,0.0001000022
398,3.98,0.0001000023
399,3.99,0.0001000023
400,4.0,0.0001000022
401,4.01,0.0001000022
402,4.0200000000000005,0.0001000022
403,4.03,0.0001000022
404,4.04,0.0001000023
405,4.05,0.0001000022
406,4.0600000000000005,0.0001000022
407,4.07,0.0001000022
408,4.08,0.0001000022
409,4.09,0.0001000023
410,4.1,0.0001000021
411,4.11,0.0001000023
412,4.12,0.0001000022
413,4.13,0.0001000022
414,4.14,0.0001000022
415,4.15,0.0001000022
416,4.16,0.0001000022
417,4.17,0.0001000023
418,4.18,0.0001000022
419,4.19,0.0001000022
420,4.2,0.0001000022
421,4.21,0.0001000022
422,4.22,0.0001000022
423,4.23,0.0001000022
424,4.24,0.0001000022
425,4.25,0.0001000023
426,4.26,0.0001000022
427,4.2700000000000005,0.0001000023
428,4.28,0.0001000022
429,4.29,0.0001000023
430,4.3,0.0001000022
431,4.3100000000000005,0.0001000022
432,4.32,0.0001000022
433,4.33,0.0001000023
434,4.34,0.0001000023
435,4.3500000000000005,0.0001000023
436,4.36,0.0001000023
437,4.37,0.0001000023
438,4.38,0.0001000022
439,4.39,0.0001000022
440,4.4,0.0001000022
441,4.41,0.0001000023
442,4.42,0.0001000021
443,4.43,0.0001000023
444,4.44,0.0001000023
445,4.45,0.0001000022
446,4.46,0.0001000022
447,4.47,0.0001000023
448,4.48,0.0001000022
449,4.49,0.0001000022
450,4.5,0.0001000022
451,4.51,0.0001000022
452,4.5200000000000005,0.0001000023
453,4.53,0.0001000022
454,4.54,0.0001000022
455,4.55,0.0001000022
456,4.5600000000000005,0.0001000022
457,4.57,0.0001000023
458,4.58,0.0001000022
459,4.59,0.0001000022
460,4.6000000000000005,0.0001000022
461,4.61,0.0001000023
462,4.62,0.0001000022
463,4.63,0.0001000022
464,4.64,0.0001000021
465,4.65,0.0001000023
466,4.66,0.0001000022
467,4.67,0.0001000022
468,4.68,0.0001000023
469,4.69,0.0001000022
470,4.7,0.0001000023
471,4.71,0.0001000022
472,4.72,0.0001000023
473,4.73,0.0001000023
474,4.74,0.0001000021
475,4.75,0.0001000022
476,4.76,0.0001000022
477,4.7700000000000005,0.0001000022
478,4.78,0.0001000022
479,4.79,0.0001000022
480,4.8,0.0001000022
481,4.8100000000000005,0.0001000023
482,4.82,0.0001000024
483,4.83,0.0001000023
484,4.84,0.0001000022
485,4.8500000000000005,0.0001000023
486,4.86,0.0001000023
487,4.87,0.0001000023
488,4.88,0.0001000023
489,4.89,0.0001000022
490,4.9,0.0001000022
491,4.91,0.0001000022
492,4.92,0.0001000022
493,4.93,0.0001000022
494,4.94,0.0001000023
495,4.95,0.0001000023
496,4.96,0.0001000023
497,4.97,0.0001000022
498,4.98,0.0001000022
499,4.99,0.0001000022
500,5.0,0.0001000023
501,5.01,0.0001000022
502,5.0200000000000005,0.0001000022
503,5.03,0.0001000022
504,5.04,0.0001000023
505,5.05,0.0001000022
506,5.0600000000000005,0.0001000022
507,5.07,0.0001000023
508,5.08,0.0001000022
509,5.09,0.0001000022
510,5.1000000000000005,0.0001000023
511,5.11,0.0001000022
512,5.12,0.0001000022
513,5.13,0.0001000022
514,5.14,0.0001000023
515,5.15,0.0001000023
516,5.16,0.0001000023
517,5.17,0.0001000023
518,5.18,0.0001000021
519,5.19,0.0001000022
520,5.2,0.0001000022
521,5.21,0.0001000023
522,5.22,0.0001000023
523,5.23,0.0001000023
524,5.24,0.0001000022
525,5.25,0.0001000023
526,5.26,0.0001000022
527,5.2700000000000005,0.0001000022
528,5.28,0.0001000022
529,5.29,0.0001000022
530,5.3,0.0001000023
531,5.3100000000000005,0.0001000022
532,5.32,0.0001000023
533,5.33,0.0001000022
534,5.34,0.0001000023
535,5.3500000000000005,0.0001000023
536,5.36,0.0001000022
537,5.37,0.0001000023
538,5.38,0.0001000022
539,5.39,0.0001000022
540,5.4,0.0001000023
541,5.41,0.0001000022
542,5.42,0.0001000022
543,5.43,0.0001000022
544,5.44,0.0001000022
545,5.45,0.0001000021
546,5.46,0.0001000022
547,5.47,0.0001000023
548,5.48,0.0001000022
549,5.49,0.0001000023
550,5.5,0.0001000022
551,5.49,0.0001000021
552,5.48,0.0001000022
553,5.47,0.0001000022
554,5.46,0.0001000022
555,5.45,0.0001000022
556,5.44,0.0001000023
557,5.43,0.0001000021
558,5.42,0.0001000023
559,5.41,0.0001000022
560,5.4,0.0001000021
561,5.39,0.0001000023
562,5.38,0.0001000023
563,5.37,0.0001000022
564,5.36,0.0001000022
565,5.3500000000000005,0.0001000022
566,5.34,0.0001000023
567,5.33,0.0001000023
568,5.32,0.0001000023
569,5.3100000000000005,0.0001000021
570,5.3,0.0001000022
571,5.29,0.0001000023
572,5.28,0.0001000022
573,5.2700000000000005,0.0001000022
574,5.26,0.0001000022
575,5.25,0.0001000022
576,5.24,0.0001000022
577,5.23,0.0001000023
578,5.22,0.0001000022
579,5.21,0.0001000022
580,5.2,0.0001000023
581,5.19,0.0001000021
582,5.18,0.0001000022
583,5.17,0.0001000023
584,5.16,0.0001000023
585,5.15,0.0001000023
586,5.14,0.0001000022
587,5.13,0.0001000022
588,5.12,0.0001000022
589,5.11,0.0001000022
590,5.1000000000000005,0.0001000023
591,5.09,0.0001000023
592,5.08,0.0001000023
593,5.07,0.0001000022
594,5.0600000000000005,0.0001000022
595,5.05,0.0001000022
596,5.04,0.0001000022
597,5.03,0.0001000023
598,5.0200000000000005,0.0001000022
599,5.01,0.0001000022
600,5.0,0.0001000022
601,4.99,0.0001000023
602,4.98,0.0001000022
603,4.97,0.0001000023
604,4.96,0.0001000023
605,4.95,0.0001000022
606,4.94,0.0001000023
607,4.93,0.0001000023
608,4.92,0.0001000022
609,4.91,0.0001000023
610,4.9,0.0001000023
611,4.89,0.0001000023
612,4.88,0.0001000023
613,4.87,0.0001000022
614,4.86,0.0001000023
615,4.8500000000000005,0.0001000023
616,4.84,0.0001000023
617,4.83,0.0001000022
618,4.82,0.0001000023
619,4.8100000000000005,0.0001000022
620,4.8,0.0001000022
621,4.79,0.0001000022
622,4.78,0.0001000022
623,4.7700000000000005,0.0001000022
624,4.76,0.0001000022
625,4.75,0.0001000022
626,4.74,0.0001000022
627,4.73,0.0001000023
628,4.72,0.0001000023
629,4.71,0.0001000022
630,4.7,0.0001000022
631,4.69,0.0001000022
632,4.68,0.0001000022
633,4.67,0.0001000022
634,4.66,0.0001000022
635,4.65,0.0001000023
636,4.64,0.0001000022
637,4.63,0.0001000022
638,4.62,0.0001000022
639,4.61,0.0001000022
640,4.6000000000000005,0.0001000022
641,4.59,0.0001000022
642,4.58,0.0001000022
643,4.57,0.0001000021
644,4.5600000000000005,0.0001000023
645,4.55,0.0001000023
646,4.54,0.0001000022
647,4.53,0.0001000023
648,4.5200000000000005,0.0001000022
649,4.51,0.0001000022
650,4.5,0.0001000022
651,4.49,0.0001000022
652,4.48,0.0001000022
653,4.47,0.0001000023
654,4.46,0.0001000022
655,4.45,0.0001000023
656,4.44,0.0001000021
657,4.43,0.0001000022
658,4.42,0.0001000022
659,4.41,0.0001000023
660,4.4,0.0001000023
661,4.39,0.0001000022
662,4.38,0.0001000023
663,4.37,0.0001000022
664,4.36,0.0001000022
665,4.3500000000000005,0.0001000022
666,4.34,0.0001000022
667,4.33,0.0001000022
668,4.32,0.0001000023
669,4.3100000000000005,0.0001000023
670,4.3,0.0001000023
671,4.29,0.0001000023
672,4.28,0.0001000023
673,4.2700000000000005,0.0001000023
674,4.26,0.0001000022
675,4.25,0.0001000021
676,4.24,0.0001000022
677,4.23,0.0001000023
678,4.22,0.0001000022
679,4.21,0.0001000022
680,4.2,0.0001000022
681,4.19,0.0001000022
682,4.18,0.0001000022
683,4.17,0.0001000022
684,4.16,0.0001000023
685,4.15,0.0001000022
686,4.14,0.0001000022
687,4.13,0.0001000022
688,4.12,0.0001000022
689,4.11,0.0001000023
690,4.1,0.0001000022
691,4.09,0.0001000022
692,4.08,0.0001000022
693,4.07,0.0001000022
694,4.0600000000000005,0.0001000021
695,4.05,0.0001000022
696,4.04,0.0001000022
697,4.03,0.0001000022
698,4.0200000000000005,0.0001000022
699,4.01,0.0001000022
700,4.0,0.0001000021
701,3.99,0.0001000021
702,3.98,0.0001000022
703,3.97,0.0001000021
704,3.96,0.0001000022
705,3.95,0.0001000022
706,3.94,0.0001000022
707,3.93,0.0001000022
708,3.92,0.0001000023
709,3.91,0.0001000023
710,3.9,0.0001000022
711,3.89,0.0001000023
712,3.88,0.0001000023
713,3.87,0.0001000022
714,3.86,0.0001000023
715,3.85,0.0001000021
716,3.84,0.0001000022
717,3.83,0.0001000023
718,3.82,0.0001000022
719,3.81,0.0001000022
720,3.8,0.0001000023
721,3.79,0.0001000022
722,3.78,0.0001000023
723,3.77,0.0001000021
724,3.76,0.0001000021
725,3.75,0.0001000022
726,3.74,0.0001000022
727,3.73,0.0001000022
728,3.72,0.0001000022
729,3.71,0.0001000021
730,3.7,0.0001000022
731,3.69,0.0001000022
732,3.68,0.0001000022
733,3.67,0.0001000022
734,3.66,0.0001000023
735,3.65,0.0001000022
736,3.64,0.0001000022
737,3.63,0.0001000023
738,3.62,0.0001000021
739,3.61,0.0001000022
740,3.6,0.0001000021
741,3.59,0.0001000022
742,3.58,0.0001000022
743,3.5700000000000003,0.0001000022
744,3.56,0.0001000023
745,3.5500000000000003,0.0001000022
746,3.54,0.0001000023
747,3.53,0.0001000022
748,3.52,0.0001000022
749,3.51,0.0001000022
750,3.5,0.0001000022
751,3.49,0.0001000022
752,3.48,0.0001000021
753,3.47,0.0001000022
754,3.46,0.000100002
755,3.45,0.0001000021
756,3.44,0.0001000022
757,3.43,0.0001000022
758,3.42,0.0001000022
759,3.41,0.0001000021
760,3.4,0.0001000022
761,3.39,0.0001000022
762,3.38,0.0001000021
763,3.37,0.0001000023
764,3.36,0.0001000022
765,3.35,0.0001000023
766,3.34,0.0001000021
767,3.33,0.0001000022
768,3.3200000000000003,0.0001000023
769,3.31,0.0001000022
770,3.3000000000000003,0.0001000023
771,3.29,0.0001000021
772,3.28,0.0001000022
773,3.27,0.0001000022
774,3.26,0.0001000022
775,3.25,0.0001000022
776,3.24,0.0001000022
777,3.23,0.0001000023
778,3.22,0.0001000023
779,3.21,0.0001000022
780,3.2,0.0001000022
781,3.19,0.0001000022
782,3.18,0.0001000022
783,3.17,0.0001000022
784,3.16,0.0001000022
785,3.15,0.0001000022
786,3.14,0.0001000021
787,3.13,0.0001000022
788,3.12,0.0001000022
789,3.11,0.0001000022
790,3.1,0.0001000022
791,3.09,0.0001000022
792,3.08,0.0001000021
793,3.0700000000000003,0.0001000022
794,3.06,0.0001000022
795,3.0500000000000003,0.0001000023
796,3.04,0.0001000022
797,3.03,0.0001000022
798,3.02,0.0001000021
799,3.01,0.0001000022
800,3.0,0.0001000022
801,2.99,0.0001000022
802,2.98,0.0001000023
803,2.97,0.0001000022
804,2.96,0.0001000022
805,2.95,0.0001000022
806,2.94,0.0001000022
807,2.93,0.0001000022
808,2.92,0.0001000022
809,2.91,0.0001000022
810,2.9,0.0001000023
811,2.89,0.0001000022
812,2.88,0.0001000022
813,2.87,0.0001000022
814,2.86,0.0001000022
815,2.85,0.0001000022
816,2.84,0.0001000023
817,2.83,0.0001000022
818,2.82,0.0001000022
819,2.81,0.0001000023
820,2.8000000000000003,0.0001000022
821,2.79,0.0001000022
822,2.78,0.0001000022
823,2.77,0.0001000022
824,2.76,0.0001000023
825,2.75,0.0001000022
826,2.74,0.0001000021
827,2.73,0.0001000021
828,2.72,0.0001000022
829,2.71,0.0001000022
830,2.7,0.0001000021
831,2.69,0.0001000022
832,2.68,0.0001000023
833,2.67,0.0001000023
834,2.66,0.0001000022
835,2.65,0.0001000023
836,2.64,0.0001000022
837,2.63,0.0001000022
838,2.62,0.0001000023
839,2.61,0.0001000022
840,2.6,0.0001000023
841,2.59,0.0001000023
842,2.58,0.0001000022
843,2.57,0.0001000023
844,2.56,0.0001000023
845,2.5500000000000003,0.0001000021
846,2.54,0.0001000023
847,2.53,0.0001000022
848,2.52,0.0001000022
849,2.51,0.0001000022
850,2.5,0.0001000022
851,2.49,0.0001000022
852,2.48,0.0001000022
853,2.47,0.0001000022
854,2.46,0.0001000022
855,2.45,0.0001000022
856,2.44,0.0001000022
857,2.43,0.0001000022
858,2.42,0.0001000021
859,2.41,0.0001000022
860,2.4,0.0001000023
861,2.39,0.0001000022
862,2.38,0.0001000022
863,2.37,0.0001000022
864,2.36,0.0001000022
865,2.35,0.0001000022
866,2.34,0.0001000023
867,2.33,0.0001000023
868,2.32,0.0001000023
869,2.31,0.0001000022
870,2.3000000000000003,0.0001000022
871,2.29,0.0001000022
872,2.28,0.0001000022
873,2.27,0.0001000022
874,2.26,0.0001000022
875,2.25,0.0001000023
876,2.24,0.0001000022
877,2.23,0.0001000022
878,2.22,0.0001000023
879,2.21,0.0001000023
880,2.2,0.0001000023
881,2.19,0.0001000022
882,2.18,0.0001000022
883,2.17,0.0001000023
884,2.16,0.0001000021
885,2.15,0.0001000022
886,2.14,0.0001000022
887,2.13,0.0001000023
888,2.12,0.0001000023
889,2.11,0.0001000022
890,2.1,0.0001000023
891,2.09,0.0001000022
892,2.08,0.0001000023
893,2.07,0.0001000022
894,2.06,0.0001000023
895,2.05,0.0001000022
896,2.04,0.0001000022
897,2.03,0.0001000022
898,2.02,0.0001000022
899,2.01,0.0001000023
900,2.0,0.0001000023
901,1.99,0.0001000022
902,1.98,0.0001000022
903,1.97,0.0001000022
904,1.96,0.0001000023
905,1.95,0.0001000022
906,1.94,0.0001000023
907,1.93,0.0001000023
908,1.92,0.0001000022
909,1.91,0.0001000022
910,1.9,0.0001000022
911,1.89,0.0001000022
912,1.88,0.0001000022
913,1.87,0.0001000021
914,1.86,0.0001000022
915,1.85,0.0001000022
916,1.84,0.0001000022
917,1.83,0.0001000022
918,1.82,0.0001000022
919,1.81,0.0001000023
920,1.8,0.0001000022
921,1.79,0.0001000022
922,1.78,0.0001000022
923,1.77,0.0001000022
924,1.76,0.0001000023
925,1.75,0.0001000022
926,1.74,0.0001000023
927,1.73,0.0001000022
928,1.72,0.0001000023
929,1.71,0.0001000023
930,1.7,0.0001000022
931,1.69,0.0001000022
932,1.68,0.0001000023
933,1.67,0.0001000022
934,1.66,0.0001000023
935,1.65,0.0001000022
936,1.64,0.0001000023
937,1.63,0.0001000022
938,1.62,0.0001000023
939,1.61,0.0001000021
940,1.6,0.0001000023
941,1.59,0.0001000023
942,1.58,0.0001000023
943,1.57,0.0001000023
944,1.56,0.0001000022
945,1.55,0.0001000023
946,1.54,0.0001000022
947,1.53,0.0001000022
948,1.52,0.0001000022
949,1.51,0.0001000022
950,1.5,0.0001000022
951,1.49,0.0001000023
952,1.48,0.0001000023
953,1.47,0.0001000021
954,1.46,0.0001000022
955,1.45,0.0001000022
956,1.44,0.0001000023
957,1.43,0.0001000022
958,1.42,0.0001000023
959,1.41,0.0001000022
960,1.4,0.0001000023
961,1.39,0.0001000022
962,1.38,0.0001000023
963,1.37,0.0001000022
964,1.36,0.0001000023
965,1.35,0.0001000023
966,1.34,0.0001000022
967,1.33,0.0001000022
968,1.32,0.0001000022
969,1.31,0.0001000021
970,1.3,0.0001000022
971,1.29,0.0001000022
972,1.28,0.0001000022
973,1.27,0.0001000021
974,1.26,0.0001000022
975,1.25,0.0001000022
976,1.24,0.0001000023
977,1.23,0.0001000022
978,1.22,0.0001000022
979,1.21,0.0001000021
980,1.2,0.0001000022
981,1.19,0.0001000022
982,1.18,0.0001000022
983,1.17,0.0001000023
984,1.16,0.0001000022
985,1.15,0.0001000023
986,1.14,0.0001000023
987,1.13,0.0001000023
988,1.12,0.0001000022
989,1.11,0.0001000022
990,1.1,0.0001000022
