
SetupTitle, SET+RESET
DataValue, 0.34, 1.3669300000000002E-06
DataValue, 0.35000000000000003, 1.4559200000000002E-06
DataValue, 0.36000000000000004, 1.5445400000000003E-06
DataValue, 0.37, 1.6400700000000002E-06
DataValue, 0.38, 1.7277200000000001E-06
DataValue, 0.39, 1.8147400000000002E-06
DataValue, 0.4, 1.90901E-06
DataValue, 0.41000000000000003, 2.0138700000000003E-06
DataValue, 0.42000000000000004, 2.12522E-06
DataValue, 0.43, 2.2226100000000004E-06
DataValue, 0.44, 2.32497E-06
DataValue, 0.45, 2.4264400000000004E-06
DataValue, 0.46, 2.5388100000000004E-06
DataValue, 0.47000000000000003, 2.67199E-06
DataValue, 0.48000000000000004, 2.7975500000000004E-06
DataValue, 0.49000000000000005, 2.91321E-06
DataValue, 0.5, 3.04577E-06
DataValue, 0.51, 3.19464E-06
DataValue, 0.52, 3.3310800000000005E-06
DataValue, 0.53, 3.4790300000000005E-06
DataValue, 0.54, 3.6373300000000003E-06
DataValue, 0.55, 3.8021000000000004E-06
DataValue, 0.56, 3.9606500000000008E-06
DataValue, 0.57000000000000006, 4.1112000000000006E-06
DataValue, 0.58000000000000007, 4.23638E-06
DataValue, 0.59000000000000008, 4.4108400000000004E-06
DataValue, 0.6, 4.58202E-06
DataValue, 0.61, 4.75903E-06
DataValue, 0.62, 4.96716E-06
DataValue, 0.63, 5.1652600000000009E-06
DataValue, 0.64, 5.39148E-06
DataValue, 0.65, 5.49722E-06
DataValue, 0.66, 5.6958000000000006E-06
DataValue, 0.67, 5.9011100000000008E-06
DataValue, 0.68, 6.1093300000000005E-06
DataValue, 0.69000000000000006, 6.27556E-06
DataValue, 0.70000000000000007, 6.5465600000000007E-06
DataValue, 0.71000000000000008, 6.8126600000000006E-06
DataValue, 0.72000000000000008, 7.0331500000000006E-06
DataValue, 0.73, 7.3313500000000005E-06
DataValue, 0.74, 7.5732500000000007E-06
DataValue, 0.75, 7.8907E-06
DataValue, 0.76, 8.17079E-06
DataValue, 0.77, 8.5112800000000013E-06
DataValue, 0.78, 8.82458E-06
DataValue, 0.79, 9.10919E-06
DataValue, 0.8, 9.3751100000000018E-06
DataValue, 0.81, 9.67608E-06
DataValue, 0.82000000000000006, 9.9816300000000015E-06
DataValue, 0.83000000000000007, 1.0291550000000001E-05
DataValue, 0.84000000000000008, 1.0366400000000001E-05
DataValue, 0.85000000000000009, 1.0950380000000001E-05
DataValue, 0.86, 1.1235160000000001E-05
DataValue, 0.87, 1.16502E-05
DataValue, 0.88, 1.20716E-05
DataValue, 0.89, 1.2389800000000001E-05
DataValue, 0.9, 1.30005E-05
DataValue, 0.91, 1.3430400000000001E-05
DataValue, 0.92, 1.3591900000000001E-05
DataValue, 0.93, 1.4254100000000001E-05
DataValue, 0.94000000000000006, 1.46629E-05
DataValue, 0.95000000000000007, 1.5066000000000001E-05
DataValue, 0.96000000000000008, 1.48305E-05
DataValue, 0.97000000000000008, 1.54569E-05
DataValue, 0.98000000000000009, 1.6092E-05
DataValue, 0.9900000000000001, 1.65314E-05
DataValue, 1, 1.69472E-05
DataValue, 1.01, 1.7759700000000002E-05
DataValue, 1.02, 1.83304E-05
DataValue, 1.03, 1.9371300000000002E-05
DataValue, 1.04, 1.97244E-05
DataValue, 1.05, 1.9266E-05
DataValue, 1.06, 1.98293E-05
DataValue, 1.07, 2.08173E-05
DataValue, 1.08, 2.1213000000000002E-05
DataValue, 1.09, 2.18787E-05
DataValue, 1.1, 2.2534300000000002E-05
DataValue, 1.11, 2.31347E-05
DataValue, 1.12, 2.4781000000000002E-05
